data_point,value,unit,source,note
TDB 2024: companies with revenue increase,40,percent,TDB 2025 Anime Production Market report,"Only 40% of prodcos posted gains in 2024"
TDB 2024: companies with revenue decline,25.5,percent,TDB 2025,
TDB 2024: companies with operating deficit,34.5,percent,TDB 2025,
TDB 2024: companies with flat revenue,41.8,percent,TDB 2025,Screen Rant 2025-08-21
TDB 2023: companies in the red,33,percent,TDB 2024 (data year 2023),
TDB 2021: companies in the red,39.8,percent,TDB - highest on record at that time,
TDB 2023: profit rate for major studios,77.5,percent,TDB,Larger studios more often own IP rights
TDB 2023: profit rate for subcontractors,57,percent,TDB,Subcontractors squeezed
Production-side share of total industry,13,percent,AJA 2023 data + Animehunch,"Production studios receive only 13% of the 3.35T yen total market"
Studio share of overseas sales revenue,6,percent,JRI January 2024,Studios earn 6% of overseas sales revenue
Studio share of domestic sales revenue,16,percent,JRI January 2024,Studios earn 16% of domestic sales revenue
12-episode season production cost (low),300000000,JPY,TDB,"Range 300M-600M yen for 12-episode season"
12-episode season production cost (high),600000000,JPY,TDB,
